"tree" "subplot" "plot" "Pc" "Hs" "Cc" "npodh"
"303" 303 61 31 0 9 0 13
"304" 304 62 31 0 0 0 0
"305" 305 61 31 0 0 0 5
"306" 306 62 31 0 1 0 1
"307" 307 61 31 0 3 4 14
"308" 308 62 31 0 3 3 8
"309" 309 61 31 0 2 2 4
"310" 310 62 31 0 7 5 15
"311" 311 63 32 0 0 0 1
"312" 312 64 32 0 2 7 9
"313" 313 63 32 0 7 3 11
"314" 314 64 32 0 17 6 25
"315" 315 63 32 0 16 6 32
"316" 316 64 32 0 14 5 23
"317" 317 63 32 0 5 9 22
"318" 318 64 32 0 41 0 47
"319" 319 63 32 0 26 3 40
"320" 320 64 32 0 24 5 35
"321" 321 65 33 1 7 13 45
"322" 322 66 33 1 7 12 33
"323" 323 65 33 1 3 17 38
"324" 324 66 33 1 2 39 69
"325" 325 65 33 1 3 20 38
"326" 326 66 33 1 6 15 45
"327" 327 65 33 1 13 3 22
"328" 328 66 33 1 3 19 32
"329" 329 65 33 1 1 2 13
"330" 330 66 33 1 3 24 46
"331" 331 67 34 0 30 24 85
"332" 332 68 34 0 10 10 25
"333" 333 67 34 0 14 36 65
"334" 334 68 34 0 10 12 30
"335" 335 67 34 0 5 13 33
"336" 336 68 34 1 10 11 27
"337" 337 67 34 0 14 8 33
"338" 338 68 34 0 6 4 14
"339" 339 67 34 0 10 11 26
"340" 340 68 34 0 2 27 40
"341" 341 69 35 1 7 6 21
"342" 342 70 35 0 2 3 15
"343" 343 69 35 0 1 7 19
"344" 344 70 35 0 2 3 6
"345" 345 69 35 0 1 13 22
"346" 346 70 35 0 3 3 9
"347" 347 69 35 0 7 17 36
"348" 348 70 35 0 0 1 3
"349" 349 69 35 0 3 0 4
"350" 350 70 35 0 0 0 1
"351" 351 71 36 0 0 7 7
"352" 352 72 36 0 0 0 0
"353" 353 71 36 0 1 1 2
"354" 354 72 36 0 2 2 5
"355" 355 71 36 0 9 1 10
"356" 356 72 36 0 3 4 7
"357" 357 71 36 0 4 0 5
"358" 358 72 36 0 0 5 5
"359" 359 71 36 0 2 4 8
"360" 360 72 36 0 2 1 3
"361" 361 73 37 1 9 6 20
"362" 362 74 37 1 7 14 23
"363" 363 73 37 1 3 3 6
"364" 364 74 37 1 1 8 17
"365" 365 73 37 1 4 7 16
"366" 366 74 37 1 1 8 17
"367" 367 73 37 1 0 2 3
"368" 368 74 37 1 1 3 5
"369" 369 73 37 1 6 6 23
"370" 370 74 37 1 1 1 4
"371" 371 75 38 1 5 6 15
"372" 372 76 38 1 2 9 27
"373" 373 75 38 1 0 1 1
"374" 374 76 38 1 7 7 20
"375" 375 75 38 0 1 1 2
"376" 376 76 38 1 5 15 32
"377" 377 75 38 1 2 1 3
"378" 378 76 38 1 10 18 46
"379" 379 75 38 1 8 6 16
"380" 380 76 38 1 10 20 52
"381" 381 77 39 0 6 3 18
"382" 382 78 39 0 15 37 93
"383" 383 77 39 0 38 8 61
"384" 384 78 39 0 4 5 18
"385" 385 77 39 0 6 5 14
"386" 386 78 39 0 6 7 15
"387" 387 77 39 0 11 11 23
"388" 388 78 39 0 16 4 21
"389" 389 77 39 0 6 2 8
"390" 390 78 39 0 11 5 19
"391" 391 79 40 0 4 6 10
"392" 392 80 40 0 1 3 4
"393" 393 79 40 0 0 1 1
"394" 394 80 40 0 1 19 23
"395" 395 79 40 0 0 2 2
"396" 396 80 40 0 3 0 6
"397" 397 79 40 0 2 7 9
"398" 398 80 40 0 1 11 25
"399" 399 79 40 0 0 0 0
"400" 400 80 40 0 2 2 6
